Col 5  30277 28199 28199 27628 27628 26634 26634 25859 27628 28328
Com 2  60742 64394 64394 64241
CrA 4  90982 94005 94005 94160 94160 94114 94114 93825
CrB 6  78493 78159 78159 77512 77512 76952 76952 76267 76267 75695 75695 76127
Crv 5  59316 61359 61359 60965 60965 59803 59803 59316 59316 59199
Crt 8  58188 57283 57283 55705 55705 54682 54682 53740 53740 55282 55282 55687 55687 56633 55282 55705
Cru 2  60718 61084 62434 59747
Cyg 11 95853 99848 99848 102098 102098 103413 103413 104732 104732 102488 102488 100453 100453 97165 97165 95853 95853 94779 102098 100453 95947 100453
Del 5  101421 101769 101769 101958 101958 102532 102531 102281 102281 101769
Dor 7  27100 27890 27890 26069 26069 27100 26069 23693 23693 21281 21281 26069 21281 19893
Dra 14 87585 85819 85819 85670 85670 87833 87833 87585 87585 94376 94376 89908 89908 83895 83895 78527 78527 75458 75458 68756 68756 61281 61281 56211 89908 89937 94376 97433
Equ 2  104987 104858 104858 104521
Eri 29 23875 22109 22109 21444 21444 19587 19587 18543 18543 17593 17593 17378 17378 16537 16537 13701 13701 12770 12770 12843 12843 14146 14146 15474 15474 16611 16611 17651 17651 18216 18216 18673 18673 21248 21248 21393 21393 20535 20535 20042 20042 17874 17874 16870 16870 15510 15510 13847 13847 12486 12486 12413 12413 11407 11407 9007 9007 7588
For 2  9677 13147 13147 14879
Gem 16 37740 36962 36962 36046 36046 34693 34693 33018 37826 36962 36962 35550 35550 35350 35350 32362 35550 34088 34088 31681 36850 34693 34693 32246 32246 30883 32246 30343 30343 29655 29655 28734
Gru 7  113638 112623 112623 112122 112122 109268 109268 110997 110997 112122 110997 109111 109111 108085
Her 22 80170 80816 80816 81693 81693 83207 83207 84379 84379 84345 84345 80816 84379 85693 85693 86974 86974 87933 87933 88794 81693 81833 81833 84380 84380 83207 81833 81126 81126 79992 79992 79101 79101 77760 84380 85112 85112 87808 87808 86414 80170 80463 80463 81008
Hor 5  19747 12653 12653 12225 12225 12484 12484 14240 14240 13884
Hya 19 72571 68895 68895 64962 64962 57936 57936 56343 56343 54682 53740 52943 52943 51069 51069 49841 49841 48356 48356 46390 46390 47431 47431 45336 45336 43813 43813 43234 43234 42799 42799 42402 42402 42313 42313 43109 43109 43234
Hyi 3  9236 17678 17678 2021 2021 9236
Ind 4  101772 103227 103227 108431 108431 105319 105319 101772
Lac 10 109937 109754 109754 111104 111104 110351 110351 111022 111022 110609 110609 110538 110538 111169 111169 111022 111022 111944 111944 111104
Leo 16 50583 50335 50335 48455 48455 46146 46146 46750 46750 47908 47908 49583 49583 54879 54879 57632 57632 54872 54872 50583 47908 48455 49583 49669 54879 55642 55642 55434 54872 54879 49583 50583
LMi 5  51056 53229 53229 51233 51233 49593 49593 51056 49593 46952
Lep 12 25606 27072 27072 27654 27654 28910 28910 28103 28103 27288 27288 25985 25985 24305 24305 23685 23685 25606 25606 25985 24305 24845 24305 24327
